timestamp,packet_counter,rssi,distance
2026-03-05 15:58:17.326142,62159,-45,0.2
2026-03-05 15:58:17.326662,62160,-45,0.2
2026-03-05 15:58:17.327020,62161,-45,0.2
2026-03-05 15:58:17.327348,62162,-45,0.2
2026-03-05 15:58:17.327728,62163,-45,0.2
2026-03-05 15:58:17.328063,62164,-45,0.2
2026-03-05 15:58:17.328595,62165,-45,0.2
2026-03-05 15:58:17.328983,62166,-45,0.2
2026-03-05 15:58:17.329370,62167,-45,0.2
2026-03-05 15:58:17.329706,62168,-45,0.2
2026-03-05 15:58:17.330028,62169,-45,0.2
2026-03-05 15:58:17.330435,62170,-45,0.2
2026-03-05 15:58:17.330784,62171,-45,0.2
2026-03-05 15:58:17.331158,62172,-45,0.2
2026-03-05 15:58:17.331762,62173,-45,0.2
2026-03-05 15:58:17.332243,62174,-45,0.2
2026-03-05 15:58:17.332813,62175,-45,0.2
2026-03-05 15:58:17.333215,62176,-45,0.2
2026-03-05 15:58:17.333560,62177,-45,0.2
2026-03-05 15:58:17.333886,62178,-45,0.2
2026-03-05 15:58:17.334205,62179,-45,0.2
2026-03-05 15:58:17.334532,62180,-45,0.2
2026-03-05 15:58:17.334878,62181,-45,0.2
2026-03-05 15:58:17.335226,62182,-45,0.2
2026-03-05 15:58:17.335568,62183,-45,0.2
2026-03-05 15:58:17.335972,62184,-45,0.2
2026-03-05 15:58:17.336329,62185,-45,0.2
2026-03-05 15:58:17.336670,62186,-45,0.2
2026-03-05 15:58:17.337056,62187,-45,0.2
2026-03-05 15:58:17.337407,62188,-45,0.2
2026-03-05 15:58:17.337778,62189,-45,0.2
2026-03-05 15:58:17.338162,62190,-45,0.2
2026-03-05 15:58:17.338560,62191,-45,0.2
2026-03-05 15:58:17.338969,62192,-45,0.2
2026-03-05 15:58:17.339367,62193,-45,0.2
2026-03-05 15:58:17.339842,62194,-45,0.2
2026-03-05 15:58:17.340255,62195,-45,0.2
2026-03-05 15:58:17.340658,62196,-45,0.2
2026-03-05 15:58:17.341036,62197,-45,0.2
2026-03-05 15:58:17.341464,62198,-45,0.2
2026-03-05 15:58:17.341859,62199,-45,0.2
2026-03-05 15:58:17.342185,62200,-45,0.2
2026-03-05 15:58:17.342697,62201,-45,0.2
2026-03-05 15:58:17.343046,62202,-45,0.2
2026-03-05 15:58:17.343357,62203,-45,0.2
2026-03-05 15:58:17.343724,62204,-45,0.2
2026-03-05 15:58:17.344046,62205,-45,0.2
2026-03-05 15:58:17.344363,62206,-45,0.2
2026-03-05 15:58:17.344671,62207,-45,0.2
2026-03-05 15:58:17.344944,62208,-45,0.2
2026-03-05 15:58:17.345210,62209,-45,0.2
2026-03-05 15:58:17.345478,62211,-45,0.2
2026-03-05 15:58:17.345771,62212,-45,0.2
2026-03-05 15:58:17.346130,62213,-45,0.2
2026-03-05 15:58:17.346483,62214,-45,0.2
2026-03-05 15:58:17.346826,62215,-45,0.2
2026-03-05 15:58:17.347173,62216,-45,0.2
2026-03-05 15:58:17.347519,62217,-45,0.2
2026-03-05 15:58:17.347904,62218,-45,0.2
2026-03-05 15:58:17.348203,62219,-45,0.2
2026-03-05 15:58:17.348492,62220,-45,0.2
2026-03-05 15:58:17.348801,62221,-45,0.2
2026-03-05 15:58:17.349076,62222,-45,0.2
2026-03-05 15:58:17.349343,62223,-45,0.2
2026-03-05 15:58:17.349649,62224,-45,0.2
2026-03-05 15:58:17.349993,62225,-45,0.2
2026-03-05 15:58:17.350339,62226,-45,0.2
2026-03-05 15:58:17.350691,62227,-45,0.2
2026-03-05 15:58:17.351028,62228,-45,0.2
2026-03-05 15:58:17.351384,62228,-45,0.2
2026-03-05 15:58:17.351737,62231,-45,0.2
2026-03-05 15:58:17.352077,62232,-45,0.2
2026-03-05 15:58:17.352428,62233,-45,0.2
2026-03-05 15:58:17.352750,62234,-45,0.2
2026-03-05 15:58:17.353083,62235,-45,0.2
2026-03-05 15:58:17.353414,62236,-45,0.2
2026-03-05 15:58:17.353721,62237,-45,0.2
2026-03-05 15:58:17.353996,62238,-45,0.2
2026-03-05 15:58:17.354306,62239,-45,0.2
2026-03-05 15:58:17.354803,62240,-45,0.2
2026-03-05 15:58:17.355213,62241,-45,0.2
2026-03-05 15:58:17.355741,62242,-45,0.2
2026-03-05 15:58:17.356219,62243,-45,0.2
2026-03-05 15:58:17.356617,62244,-45,0.2
2026-03-05 15:58:17.356918,62245,-45,0.2
2026-03-05 15:58:17.357211,62246,-45,0.2
2026-03-05 15:58:17.357498,62247,-45,0.2
2026-03-05 15:58:17.357938,62248,-45,0.2
2026-03-05 15:58:17.358389,62249,-45,0.2
2026-03-05 15:58:17.358828,62250,-45,0.2
2026-03-05 15:58:17.359274,62251,-45,0.2
2026-03-05 15:58:17.359744,62251,-46,0.2
2026-03-05 15:58:17.360197,62254,-45,0.2
2026-03-05 15:58:17.360640,62255,-45,0.2
2026-03-05 15:58:17.361078,62256,-45,0.2
2026-03-05 15:58:17.361517,62257,-45,0.2
2026-03-05 15:58:17.361956,62258,-45,0.2
2026-03-05 15:58:17.362395,62259,-45,0.2
2026-03-05 15:58:17.362832,62260,-45,0.2
2026-03-05 15:58:17.363270,62261,-45,0.2
2026-03-05 15:58:17.363728,62262,-45,0.2
2026-03-05 15:58:17.364173,62263,-45,0.2
2026-03-05 15:58:17.364611,62264,-45,0.2
2026-03-05 15:58:17.365050,62265,-45,0.2
2026-03-05 15:58:17.365488,62266,-45,0.2
2026-03-05 15:58:17.365928,62267,-45,0.2
2026-03-05 15:58:17.366366,62268,-45,0.2
2026-03-05 15:58:17.366809,62269,-45,0.2
2026-03-05 15:58:17.367252,62270,-45,0.2
2026-03-05 15:58:17.367720,62271,-45,0.2
2026-03-05 15:58:17.368172,62272,-45,0.2
2026-03-05 15:58:17.368612,62273,-45,0.2
2026-03-05 15:58:17.369050,62275,-45,0.2
2026-03-05 15:58:17.369490,62276,-45,0.2
2026-03-05 15:58:17.369929,62277,-45,0.2
2026-03-05 15:58:17.370369,62278,-45,0.2
2026-03-05 15:58:17.370811,62279,-45,0.2
2026-03-05 15:58:17.371252,62280,-45,0.2
2026-03-05 15:58:17.371767,62281,-45,0.2
2026-03-05 15:58:17.372258,62282,-45,0.2
2026-03-05 15:58:17.372734,62283,-45,0.2
2026-03-05 15:58:17.373225,62284,-45,0.2
2026-03-05 15:58:17.373690,62285,-45,0.2
2026-03-05 15:58:17.374131,62286,-45,0.2
2026-03-05 15:58:17.374570,62287,-45,0.2
2026-03-05 15:58:17.375008,62288,-45,0.2
2026-03-05 15:58:17.375446,62289,-45,0.2
2026-03-05 15:58:17.375907,62290,-45,0.2
2026-03-05 15:58:17.376355,62291,-45,0.2
2026-03-05 15:58:17.376798,62292,-45,0.2
2026-03-05 15:58:17.377236,62293,-45,0.2
2026-03-05 15:58:17.377675,62294,-45,0.2
2026-03-05 15:58:17.378121,62295,-45,0.2
2026-03-05 15:58:17.378573,62296,-45,0.2
2026-03-05 15:58:17.379011,62297,-45,0.2
2026-03-05 15:58:17.379440,62298,-45,0.2
2026-03-05 15:58:17.379937,62299,-45,0.2
2026-03-05 15:58:17.380380,62300,-45,0.2
2026-03-05 15:58:17.380809,62301,-45,0.2
2026-03-05 15:58:17.381239,62302,-45,0.2
2026-03-05 15:58:17.381668,62303,-45,0.2
2026-03-05 15:58:17.382100,62304,-45,0.2
2026-03-05 15:58:17.382544,62305,-45,0.2
2026-03-05 15:58:17.383023,62306,-45,0.2
2026-03-05 15:58:17.383525,62307,-45,0.2
2026-03-05 15:58:17.384015,62308,-45,0.2
2026-03-05 15:58:17.384496,62309,-45,0.2
2026-03-05 15:58:17.384976,62310,-45,0.2
2026-03-05 15:58:17.385420,62311,-45,0.2
2026-03-05 15:58:17.385878,62312,-45,0.2
2026-03-05 15:58:17.386347,62313,-45,0.2
2026-03-05 15:58:17.386805,62314,-45,0.2
2026-03-05 15:58:17.387260,62315,-45,0.2
2026-03-05 15:58:17.387756,62316,-45,0.2
2026-03-05 15:58:17.388460,68407,-44,0.2
2026-03-05 15:58:17.388951,68408,-44,0.2
2026-03-05 15:58:17.389432,68409,-44,0.2
2026-03-05 15:58:17.389876,68410,-44,0.2
2026-03-05 15:58:17.390335,68411,-44,0.2
2026-03-05 15:58:17.390797,68412,-44,0.2
