timestamp,packet_counter,rssi,distance
2026-03-05 16:01:59.230390,95950,-88,125
2026-03-05 16:01:59.230556,95951,-88,125
2026-03-05 16:01:59.230671,95952,-88,125
2026-03-05 16:01:59.230781,95953,-88,125
2026-03-05 16:01:59.230890,95954,-88,125
2026-03-05 16:01:59.231005,95955,-88,125
2026-03-05 16:01:59.231122,95956,-88,125
2026-03-05 16:01:59.231238,95957,-88,125
2026-03-05 16:01:59.231353,95958,-88,125
2026-03-05 16:01:59.231470,95959,-88,125
2026-03-05 16:01:59.231584,95960,-88,125
2026-03-05 16:01:59.231713,95961,-88,125
2026-03-05 16:01:59.231830,95962,-88,125
2026-03-05 16:01:59.231945,95963,-88,125
2026-03-05 16:01:59.232059,95964,-89,125
2026-03-05 16:01:59.232175,95965,-88,125
2026-03-05 16:01:59.232298,95966,-88,125
2026-03-05 16:01:59.232414,95967,-88,125
2026-03-05 16:01:59.232571,95968,-88,125
2026-03-05 16:01:59.232715,95969,-88,125
2026-03-05 16:01:59.232829,95970,-88,125
2026-03-05 16:01:59.232941,95971,-88,125
2026-03-05 16:01:59.233053,95972,-88,125
2026-03-05 16:01:59.233160,95973,-88,125
2026-03-05 16:01:59.233268,95974,-88,125
2026-03-05 16:01:59.233380,95975,-88,125
2026-03-05 16:01:59.233487,95976,-88,125
2026-03-05 16:01:59.233595,95977,-88,125
2026-03-05 16:01:59.233717,95978,-88,125
2026-03-05 16:01:59.233820,95979,-88,125
2026-03-05 16:01:59.233923,95980,-88,125
2026-03-05 16:01:59.234025,95981,-88,125
2026-03-05 16:01:59.234128,95982,-88,125
2026-03-05 16:01:59.234235,95983,-88,125
2026-03-05 16:01:59.234337,95984,-88,125
2026-03-05 16:01:59.234442,95985,-88,125
2026-03-05 16:01:59.234545,95986,-88,125
2026-03-05 16:01:59.234649,95987,-88,125
2026-03-05 16:01:59.234753,95988,-88,125
2026-03-05 16:01:59.234912,95989,-88,125
2026-03-05 16:01:59.235083,95990,-87,125
2026-03-05 16:01:59.235231,95991,-88,125
2026-03-05 16:01:59.235339,95992,-88,125
2026-03-05 16:01:59.235444,95993,-87,125
2026-03-05 16:01:59.235546,95994,-87,125
2026-03-05 16:01:59.235679,95995,-87,125
2026-03-05 16:01:59.235779,95996,-87,125
2026-03-05 16:01:59.235877,95997,-87,125
2026-03-05 16:01:59.235980,95998,-87,125
2026-03-05 16:01:59.236078,95999,-87,125
2026-03-05 16:01:59.236176,96000,-87,125
2026-03-05 16:01:59.236275,96001,-87,125
2026-03-05 16:01:59.236373,96002,-87,125
2026-03-05 16:01:59.236472,96003,-87,125
2026-03-05 16:01:59.236570,96004,-87,125
2026-03-05 16:01:59.236668,96005,-88,125
2026-03-05 16:01:59.236767,96006,-87,125
2026-03-05 16:01:59.236865,96007,-88,125
2026-03-05 16:01:59.236969,96008,-88,125
2026-03-05 16:01:59.237069,96009,-87,125
2026-03-05 16:01:59.237167,96010,-87,125
2026-03-05 16:01:59.237267,96011,-88,125
2026-03-05 16:01:59.237366,96012,-87,125
2026-03-05 16:01:59.237464,96013,-87,125
2026-03-05 16:01:59.237572,96014,-87,125
2026-03-05 16:01:59.237670,96015,-87,125
2026-03-05 16:01:59.237778,96016,-87,125
2026-03-05 16:01:59.237868,96017,-87,125
2026-03-05 16:01:59.237958,96018,-88,125
2026-03-05 16:01:59.238048,96019,-88,125
2026-03-05 16:01:59.238137,96020,-88,125
2026-03-05 16:01:59.238226,96021,-88,125
2026-03-05 16:01:59.238316,96022,-88,125
2026-03-05 16:01:59.238405,96023,-88,125
2026-03-05 16:01:59.238495,96024,-88,125
2026-03-05 16:01:59.238585,96025,-88,125
2026-03-05 16:01:59.238676,96026,-89,125
2026-03-05 16:01:59.238766,96027,-89,125
2026-03-05 16:01:59.238871,96028,-88,125
2026-03-05 16:01:59.238959,96029,-88,125
2026-03-05 16:01:59.239048,96030,-89,125
2026-03-05 16:01:59.239135,96031,-89,125
2026-03-05 16:01:59.239221,96032,-89,125
2026-03-05 16:01:59.239306,96033,-89,125
2026-03-05 16:01:59.239391,96034,-89,125
2026-03-05 16:01:59.239478,96035,-89,125
2026-03-05 16:01:59.239563,96036,-89,125
2026-03-05 16:01:59.239661,96037,-90,125
