timestamp,packet_counter,rssi,distance
2026-03-05 15:59:17.832195,69170,-44,25
2026-03-05 15:59:17.832301,69171,-45,25
2026-03-05 15:59:17.832414,69172,-44,25
2026-03-05 15:59:17.832523,69173,-44,25
2026-03-05 15:59:17.832629,69174,-44,25
2026-03-05 15:59:17.832905,75992,-76,25
2026-03-05 15:59:17.843744,75993,-76,25
2026-03-05 15:59:17.844322,75994,-75,25
2026-03-05 15:59:17.857373,75995,-76,25
2026-03-05 15:59:17.864414,75996,-76,25
2026-03-05 15:59:17.871345,75997,-76,25
2026-03-05 15:59:17.878351,75998,-76,25
2026-03-05 15:59:17.885341,75999,-76,25
2026-03-05 15:59:17.892433,76000,-76,25
2026-03-05 15:59:17.905337,76001,-76,25
2026-03-05 15:59:17.912375,76002,-76,25
2026-03-05 15:59:17.919343,76003,-76,25
2026-03-05 15:59:17.926401,76004,-76,25
2026-03-05 15:59:17.933347,76005,-76,25
2026-03-05 15:59:17.940349,76006,-76,25
2026-03-05 15:59:17.953344,76007,-76,25
2026-03-05 15:59:17.960406,76008,-77,25
2026-03-05 15:59:17.967323,76009,-76,25
2026-03-05 15:59:17.974349,76010,-76,25
2026-03-05 15:59:17.981338,76011,-76,25
2026-03-05 15:59:17.988384,76012,-77,25
2026-03-05 15:59:18.007347,76014,-77,25
2026-03-05 15:59:18.014337,76015,-77,25
2026-03-05 15:59:18.021532,76016,-77,25
2026-03-05 15:59:18.028406,76017,-77,25
2026-03-05 15:59:18.035329,76018,-77,25
2026-03-05 15:59:18.048338,76019,-77,25
2026-03-05 15:59:18.055425,76020,-76,25
2026-03-05 15:59:18.062405,76021,-76,25
2026-03-05 15:59:18.069347,76022,-76,25
2026-03-05 15:59:18.076317,76023,-75,25
2026-03-05 15:59:18.083337,76024,-75,25
2026-03-05 15:59:18.096403,76025,-74,25
2026-03-05 15:59:18.103340,76026,-73,25
2026-03-05 15:59:18.110341,76027,-73,25
2026-03-05 15:59:18.117331,76028,-74,25
2026-03-05 15:59:18.124460,76029,-73,25
2026-03-05 15:59:18.131421,76030,-73,25
2026-03-05 15:59:18.144352,76031,-73,25
2026-03-05 15:59:18.151335,76032,-73,25
2026-03-05 15:59:18.158428,76033,-73,25
2026-03-05 15:59:18.165377,76034,-74,25
2026-03-05 15:59:18.172308,76035,-73,25
